base name:
rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2

query path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/orig.smt2

trace path:
dbg/rabbitmq-log-rabbitmq_controller__proof__liveness__resource_match__lemma_from_after_get_resource_step_to_after_create_resource_step.smt2/traces/rename.7482608532762354548

10129 unknown

verus procedure:
Function-Def rabbitmq_controller::rabbitmq_controller::proof::liveness::resource_match::lemma_from_after_get_resource_step_to_after_create_resource_step
controller_examples/rabbitmq_controller/proof/liveness/resource_match.rs:506

traced instantiations:
QID                                                                                    T    P0    P1    P2
mariposa_qid_131                                                                     281     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       275     0     0     0
internal_rabbitmq_controller!reconciler.spec.resource_builder.ResourceBuild...       275     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.api_method.APIRequ...       274     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.resource.ResourceV...       273     0     0     0
internal_rabbitmq_controller!reconciler.spec.io.RequestView./KRequest_const...       272     0     0     0
internal_rabbitmq_controller__temporal_logic__defs__TempPred_unbox_axiom_de...       269     1     1     1
internal_rabbitmq_controller!temporal_logic.defs.TempPred./TempPred_constru...       269     0     0     0
mariposa_qid_136                                                                     268     3     4     3
internal_rabbitmq_controller!kubernetes_cluster.spec.client.types.ClientAct...       267     1     1     1
internal_vstd__map__Map<rabbitmq_controller!kubernetes_api_objects.spec.com...       262     3     3     2
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....       260     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.model.resource.config_map....       260     0     0     0
internal_rabbitmq_controller__external_api__spec__EmptyTypeView_unbox_axiom...       259     0     2     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       257     0     0     0
internal_rabbitmq_controller!rabbitmq_controller.trusted.spec_types.Rabbitm...       256     0     0     0
internal_crate__fun__1_constructor_definition                                        253
- [root]                                                                             253     0     0     0
- internal_crate__fun__1_constructor_inner_definition                                  0     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.KeyToPathVi...       252     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__KeyToPa...       252     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServiceVie...       252     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       252     0     0     0
internal_rabbitmq_controller__kubernetes_api_objects__spec__volume__KeyToPa...       252     0     0     0
internal_vstd!multiset.impl&__0.contains.?_definition                                250     4     5     5
internal_crate__fun__1_unbox_axiom_definition                                        250     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       248     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.impl&__4...       248     0     0     0
mariposa_qid_268                                                                     247     9    11    13
internal_rabbitmq_controller!kubernetes_cluster.spec.controller.types.Ongoi...       246     2     2     3
internal_vstd__map__Map<rabbitmq_controller!kubernetes_api_objects.spec.com...       245     9     9     8
internal_rabbitmq_controller__kubernetes_cluster__spec__controller__types__...       243     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       242     0     0     0
mariposa_qid_201                                                                     238
- [root]                                                                              74     4     4     4
- user_rabbitmq_controller__state_machine__state_machine__StateMachine__next_...     164     4     4     4
- mariposa_qid_200                                                                     0     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...       231     4     5     4
internal_rabbitmq_controller!kubernetes_cluster.spec.api_server.types.ApiSe...       231     5     6     5
internal_rabbitmq_controller__kubernetes_cluster__spec__external_api__types...       230     1     2     1
internal_rabbitmq_controller!kubernetes_cluster.spec.message.Message./Messa...       221     9     9     7
internal_rabbitmq_controller__kubernetes_api_objects__spec__service__Servic...       218     7     6     5
internal_rabbitmq_controller!kubernetes_cluster.spec.cluster.Cluster./Clust...       218     4     4     4
internal_rabbitmq_controller__kubernetes_cluster__spec__network__types__Net...       217     0     0     0
user_vstd__set__axiom_set_insert_different_68                                        216     6     6     6
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__0.se...       216     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       216     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       216     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       216     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       216     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       216     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.impl&__0.se...       216     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       214     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       213     0     0     0
internal_vstd!map.impl&__0.index.?_pre_post_definition                               210    10    10    10
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       209     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.vol...       209     0     0     0
internal_vstd__seq__Seq<rabbitmq_controller!kubernetes_api_objects.spec.con...       208     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.get_r...       208     0     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       208     0     0     0
internal_rabbitmq_controller!reconciler.spec.io.RequestView./KRequest/0_inv...       208     2     2     2
internal_rabbitmq_controller!reconciler.spec.io.RequestView./ExternalReques...       208     2     2     2
internal_rabbitmq_controller!kubernetes_api_objects.spec.service.ServicePor...       208     0     0     0
internal_rabbitmq_controller!kubernetes_cluster.spec.message.impl&__4.get_r...       208     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       207     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.container.VolumeMo...       207     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       206     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.volume.VolumeView....       206     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.impl&_...       204     0     0     0
internal_rabbitmq_controller!kubernetes_api_objects.spec.object_meta.impl&_...       204     0     0     0
